"","GEOID","county","hhincome","pct_pov","review_count","avg_rating","race.tot","avg_price","pct_white","hhincome_log","review_count_log","pct_pov_log","yelp_n"
"38","13067030234","Cobb County",118810,0.0352923356558619,74,"2",6630,"1",0.727601809954751,11.6853650219097,4.31748811353631,-3.09461745162736,1
"39","13067030235","Cobb County",105819,0.0527485852869846,38,"2",4948,"1",0.755052546483428,11.5695798629266,3.66356164612965,-2.76861924645173,1
"40","13067030239","Cobb County",131750,0.0172656349916869,101,"4",7819,"1",0.873001662616703,11.7887373648515,4.62497281328427,-3.60212816124806,1
"41","13067030310","Cobb County",78692,0.0719678519240136,322,"4",8212,"1",0.7496346809547,11.2734238470432,5.77765232322266,-2.50142815829661,1
"42","13067030312","Cobb County",70437,0.0729841082989994,33,"2",6804,"1",0.745296884185773,11.1626159330277,3.50470446635432,-2.48910615579466,2
"43","13067030313","Cobb County",94408,0.060220621341738,33.5,"3",8998,"1",0.64658813069571,11.455487011923,3.41109869531024,-2.65611325978003,2
"44","13067030314","Cobb County",109192,0.0589051463168517,31,"2",7928,"1",0.783678102926337,11.6009546571435,3.46573590279973,-2.6750244111996,1
"45","13067030318","Cobb County",150164,0.0377948651114297,21.6666666666667,"2",7680,"2",0.852213541666667,11.9195499007982,2.50584028353434,-3.04083706970222,3
"46","13067030319","Cobb County",98938,0.0623506408863784,18,"4",4603,"1",0.810992830762546,11.502349738598,2.94443897916644,-2.62623096780458,1
"47","13067030326","Cobb County",156037,0.0288613303269448,22.5,"4",4442,"1",0.846465556055831,11.9579125229066,3.08689305195097,-3.24775560178081,2
"48","13067030328","Cobb County",136076,0.0416172985781991,49.5,"3",6752,"1",0.831605450236967,11.8210423178085,3.82198097450126,-2.96389841891271,2
"49","13067030329","Cobb County",107072,0.0106929878675715,37,"2",4863,"1",0.794776886695455,11.5813501750841,3.63758615972639,-3.87796038645854,1
"50","13067030330","Cobb County",126546,0.0333228544482867,42.5,"2",6396,"1",0.714821763602251,11.7484401769394,3.76470322891851,-3.13907496686209,2
"51","13067030332","Cobb County",133646,0.0162550797124101,7,"3",3199,"NaN",0.78524538918412,11.8030246139376,2.07944154167984,-3.63989579581198,1
